                sync	 /bin
                 bin	 /bin
               proxy	 /bin
                 sys	 /dev
               admin	 /home/admin
       apt_get_admin	 /home/apt_get_admin
      cups-pk-helper	 /home/cups-pk-helper
              devops	 /home/devops
               peter	 /home/peter
          studiouser	 /home/studiouser
              syslog	 /home/syslog
                test	 /home/test
              user_a	 /home/user_a
              user_b	 /home/user_b
            whoopsie	 /nonexistent
                _apt	 /nonexistent
          messagebus	 /nonexistent
              nobody	 /nonexistent
               rtkit	 /proc
                root	 /root
 gnome-initial-setup	 /run/gnome-initial-setup/
                sshd	 /run/sshd
     systemd-network	 /run/systemd/netif
     systemd-resolve	 /run/systemd/resolve
               uuidd	 /run/uuidd
               games	 /usr/games
            kernoops	 /
              daemon	 /usr/sbin
              backup	 /var/backups
                 man	 /var/cache/man
       avahi-autoipd	 /var/lib/avahi-autoipd
              colord	 /var/lib/colord
                 gdm	 /var/lib/gdm3
             geoclue	 /var/lib/geoclue
               gnats	 /var/lib/gnats
             dnsmasq	 /var/lib/misc
               saned	 /var/lib/saned
              usbmux	 /var/lib/usbmux
                list	 /var/list
                mail	 /var/mail
               avahi	 /var/run/avahi-daemon
               hplip	 /var/run/hplip
                 irc	 /var/run/ircd
               pulse	 /var/run/pulse
   speech-dispatcher	 /var/run/speech-dispatcher
             vboxadd	 /var/run/vboxadd
                  lp	 /var/spool/lpd
                news	 /var/spool/news
                uucp	 /var/spool/uucp
            www-data	 /var/www
